State/Indicator	Law enforcement / criminal justice expenditures as percentage of total state budget. 	Federal transfers as percentage of law enforcement /criminal justice expenditures	Per capita law enforcement/ criminal justice expenditures	Law enforcement/ criminal justice expenditures by function as a percentage of law enforcement/crminal justice expenditures: Public Safety (SSP)	Law enforcement/ criminal justice expenditures by function as a percentage of law enforcement/crminal justice expenditures: Prosecution	Law enforcement/ criminal justice expenditures by function as a percentagelaw enforcement/crminal justice expenditures: Justice Implementation/Court System	Police officers per 100000 inhabitants	Police officers per 1000 crimes 	Number of district courts per 100000 inhabitants	Caseload per district court 	Number of prosecutors per 100000 inhabitants	Number of prosecutors per 100,000 reported crimes	Number of public defense attorneys	Number of prison cells per 100,000 inhabitants	Number of prision cells per 100,000 reported crimes	Inmate population per 100,000 inhabitants 	Prision Overpopulation rate	"Reported crime as a percentage of total crime (""dark number"")"	Clearance rate: total reported crime	Clearance rate: homicide	Indictment / conviction rate	Pre-trial population as percentage of total prison population	Fear of crime indicators: Feeling of safety	"Fear of crime indicators: ""walking alone"""	Trust in institutions: Police (Municipal)	Trust in institutions: Police (State)	Trust in State and Municipal police (2011)	Trust in institutions: Prosecutors	Trust in institutions: Judges	Total reported crimes per 100,000 inhabitants	Violent crimes per 100,000 inhabitants	Violent crime as percentage of total reported crime	Number of intentional homicides per 100,000 inhabitants	Homicides caused by firearms as percentage of total homicides	Grand theft auto reports per 10,000 registered vehicles	Victimization rate	Indice de Rezago Social (2010)	Pobreza total	Pobreza moderada	Pobreza extrema	Coeficiente de Gini
Ags	0.0729890992	0.1327179915	852.4271745626	0.5240939646	0.2574902548	0.2184157806	213	106.903854299	0.2550133499	2232	7.3103826985	364.2524354087		107.9556514784	53.7907666243	126.8266393746	0.1748031496	0.0551557853	0.0579465262	0.5733333333	0.70538415	0.4577747989	0.367	0.2346186649	0.3104702913	0.4829848455	0.3967275684	0.4002276819	0.4442012911	2076.4887041837	341.5478800315	0.1644833797	6.0353159488	0.4366197183	605.3754929702	36387.0272463661	-1.106007	0.3817	0.346	0.0357	0.50673314
BC	0.1004600824	0.1061825283	998.5148313988	0.4503185536	0.3323298179	0.2173516285	248	67.9019839068	0.4790188257	1539.9375	5.4787778194	158.6778579356	1.3696698962	446.1461588229	129.2140677026	490.6949096166	0.0998523688	0.1122735987	0.0908331912	0.2041884817	1.0637089992	0.4533585504	0.395	0.2400704759	0.3950805659	0.4109304825	0.4030055242	0.3778670117	0.4162466584	3875.0826681708	723.1687334832	0.186620208	20.1487293577		1485.7918714751	30753.1577955131	-0.8551109	0.3204	0.289	0.0314	0.5061649
BCS	0.0494798081		723.9192095179				444	153.391530662	0.5059841054	1598.6666666667	19.3960573719	623.5428075693	2.2322009874	294.4827493152	94.6700645231	277.7852738386	-0.0567010309	0.1333455151	0.0912663202	1.1272727273	0.9411764706	0.643515673	0.605	0.1352153888	0.3937963908	0.4371536464	0.4154750186	0.4792683705	0.5031848991	3355.1806025933	326.6970706894	0.0973709345	6.4091320011		142.1851006264	23327.5308550702	-0.4737957	0.3088	0.263	0.0458	0.48591371
Camp	0.0573082543	0.1700497722	954.4394930895	0.4633458913	0.2666466244	0.2700074844	248	818.3279742765	0.245596154	175.5	13.1393942371	4300.6430868167		209.2479231775	684.8874598071	171.548913544	-0.1801643192	0.0176384915	0.3149951315	1.1041666667	0.5919487649	0.3749098774	0.435	0.149060578	0.370299835	0.4271815639	0.3987406994	0.4012291673	0.4637164474	369.3766155622	79.3275577304	0.2147606383	7.2450865419	0.2203389831	98.5684353938	17321.3007149062	0.2162093	0.5	0.38	0.12	0.51303733
Chih	0.0465541885	0.1281718771	585.5286627432	0.4587754232	0.3490304649	0.1921941118	280	550.0450487345	0.1957101211	1667	10.3332183126	1134.4090425096	0.5666611058	106.4010691861	200.3849619133	155.5460551581	0.4618843245	0.0413032424	0.1668538355	1.608040201	0.958560794	0.480704698	0.57	0.1824276901	0.4144964027	0.4612195142	0.4378579584	0.4224449161	0.4451229447	590.91409239	206.256722099	0.349046883	13.3735249437	0.2113821138	274.1945534991	12855.7293246112	2.27118	0.784	0.25	0.0292	0.476856
Chis	0.0469834522	0.1380109179	569.3884615741	0.1329578971	0.4689869848	0.3980551181	263	135.8642874484	0.3187198357	1299.4545454546	8.4407636943	78.9026462734	0.9318034123	176.4838653878	92.4223112406	180.7720959045	0.0242981448	0.0548307688	0.0272914376	0.0294989855	0.5033801352	0.4235576923	0.087	0.6165340993	0.2516931563	0.2606528836	0.25617302	0.2845921658	0.3253121276	2046.4710905173	480.6295122399	0.2348577092	88.0535982455	0.7571569595	2382.7471380527	34826.0201405963	-0.4991516	0.3922	0.326	0.0208	0.41940587
Coah	0.0476780056	0.1607187083	554.2962127076	0.784300028		0.215699972	165	92.8562661102	0.4476484468	979.1666666667	13.5909806338	1278.5892557588	0.66046349	107.957883742	59.2037968987	94.3792141905	-0.1257774706	0.072218055	0.0412640376	0.2449888641	0.7252824859	0.3086956522	0.335	0.3327188246	0.4082327196	0.5040925388	0.4561626292	0.4622274684	0.5553224705	1903.9234521156	423.3262144796	0.2223441357	24.7325766831	0.6802413273	539.2287882838	25249.8623362999	-1.160584	0.2792	0.456	0.328	0.54088737
Col	0.1028298829	0.2152774152	1244.6523959757	0.6072346675	0.2286338248	0.1641315077	358	229.5777426993	0.3246447575	2053.5	31.6981363872	10793.2123125493		426.0962441848	258.9779005525	395.9042817397	-0.0708571429	0.0960035494	0.1625750849	0.6870229008	0.8228684732	0.4161541615	0.324	0.1775477885	0.5545710418	0.6167295786	0.5856503102	0.4722405176	0.5731989756	1764.2819344932	289.5831236669	0.1641365351	26.7831924916	0.0848484848	238.826491438	17137.9041848033	-0.8031844	0.3468	0.326	0.0662	0.47279626
DF	0.1440853726	0.0272978282	2230.5912065781	0.5800337586	0.2313689971	0.1885972443	1061	506.1139985766	0.8135277921	1350.3888888889	13.4910025521	643.7490564817	0.736174946	262.8259718296	125.4124522849	463.9368214317	0.7651863634	0.0644920281	0.0892837051	0.7678737233	0.8721150964	0.3468696711	0.234	0.3127765055	0.7582111437	0.3164730631	0.5373421034	0.2096203895	0.2660918901	2394.0202091603	717.9608745107	0.2998975831	8.8019187505	0.5584082157	587.3394074431	32495.3773359743	-1.283248	0.2868	0.265	0.0218	0.51718341
Dgo	0.0536270105	0.2005188442	635.9679416032	0.3228467093	0.4203154835	0.2568378072	239	127.6074020794	0.1922465678	1516.3333333333	14.1621638248	722.5528019355	0.5850800682	221.3398816786	112.9274831622	157.7062677508	-0.287492762	0.0951543561	0.0287348676	0.0712353472	0.9094736842	0.3812724014	0.095	0.3852987334	0.3598746802	0.428530207	0.3942024436	0.3973790706	0.4428108547	2039.543837344	536.6883349909	0.263141358	46.2032584512	0.6435185185	1453.3490618203	20598.298613696	-0.0083111	0.514	0.412	0.102	0.46860392
